,tempi,V_in,V_out
0,0.0,1.0,0.0
1,0.01001001001001001,1.0,0.00249937601799165
2,0.02002002002002002,1.0,0.004992504859699006
3,0.03003003003003003,1.0,0.0074794015537631075
4,0.04004004004004004,1.0,0.009960083396794791
5,0.050050050050050046,1.0,0.012434559841428989
6,0.06006006006006006,1.0,0.014902849044877193
7,0.07007007007007007,1.0,0.01736496823836203
8,0.08008008008008008,1.0,0.01982093465310612
9,0.09009009009009009,1.0,0.02227076552033209
10,0.10010010010010009,1.0,0.024714476237596733
11,0.11011011011011011,1.0,0.02715207914224678
12,0.12012012012012012,1.0,0.029583589437288275
13,0.13013013013013014,1.0,0.03200902243618191
14,0.14014014014014015,1.0,0.03442839345238837
15,0.15015015015015015,1.0,0.03684171778076199
16,0.16016016016016016,1.0,0.039249010269422284
17,0.17017017017017017,1.0,0.04165028587373357
18,0.18018018018018017,1.0,0.04404555969777265
19,0.19019019019019018,1.0,0.046434846845616363
20,0.20020020020020018,1.0,0.048818162421341516
21,0.21021021021021022,1.0,0.051195520517109294
22,0.22022022022022023,1.0,0.05356693792369374
23,0.23023023023023023,1.0,0.05593242786025564
24,0.24024024024024024,1.0,0.058292005348179465
25,0.2502502502502503,1.0,0.06064568537135453
26,0.2602602602602603,1.0,0.06299348286957014
27,0.2702702702702703,1.0,0.06533541239796313
28,0.2802802802802803,1.0,0.06767148852165966
29,0.2902902902902903,1.0,0.07000172591895085
30,0.3003003003003003,1.0,0.07232613921842673
31,0.3103103103103103,1.0,0.07464474299897646
32,0.3203203203203203,1.0,0.07695755178978814
33,0.3303303303303303,1.0,0.07926458007034895
34,0.34034034034034033,1.0,0.08156584227044505
35,0.35035035035035034,1.0,0.08386135277016166
36,0.36036036036036034,1.0,0.08615112589988297
37,0.37037037037037035,1.0,0.08843517594108562
38,0.38038038038038036,1.0,0.09071351730873185
39,0.39039039039039036,1.0,0.09298616438400034
40,0.40040040040040037,1.0,0.09525313138943783
41,0.41041041041041043,1.0,0.09751443250507477
42,0.42042042042042044,1.0,0.0997700818684251
43,0.43043043043043044,1.0,0.10202009357448646
44,0.44044044044044045,1.0,0.10426448167574007
45,0.45045045045045046,1.0,0.10650326018215076
46,0.46046046046046046,1.0,0.10873644306116699
47,0.47047047047047047,1.0,0.11096404423772081
48,0.4804804804804805,1.0,0.1131860775942279
49,0.4904904904904905,1.0,0.1154025571282151
50,0.5005005005005005,1.0,0.11761349686079746
51,0.5105105105105106,1.0,0.11981891063826172
52,0.5205205205205206,1.0,0.12201881227161318
53,0.5305305305305306,1.0,0.12421321553660915
54,0.5405405405405406,1.0,0.12640213417375892
55,0.5505505505505506,1.0,0.12858558188832386
56,0.5605605605605606,1.0,0.13076357235031727
57,0.5705705705705706,1.0,0.13293611919450452
58,0.5805805805805806,1.0,0.13510323602040294
59,0.5905905905905906,1.0,0.1372649363922819
60,0.6006006006006006,1.0,0.13942123385586613
61,0.6106106106106106,1.0,0.14157214193615533
62,0.6206206206206206,1.0,0.1437176741035656
63,0.6306306306306306,1.0,0.14585784379399885
64,0.6406406406406406,1.0,0.14799266440904535
65,0.6506506506506506,1.0,0.1501221493159835
66,0.6606606606606606,1.0,0.1522463118477799
67,0.6706706706706707,1.0,0.15436516530308936
68,0.6806806806806807,1.0,0.1564787229462549
69,0.6906906906906907,1.0,0.15858699800730774
70,0.7007007007007007,1.0,0.16069000368196734
71,0.7107107107107107,1.0,0.16278775306363297
72,0.7207207207207207,1.0,0.1648802595086959
73,0.7307307307307307,1.0,0.16696753599660946
74,0.7407407407407407,1.0,0.16904959560182367
75,0.7507507507507507,1.0,0.17112645136471638
76,0.7607607607607607,1.0,0.1731981162916787
77,0.7707707707707707,1.0,0.17526460335520042
78,0.7807807807807807,1.0,0.1773259254939552
79,0.7907907907907907,1.0,0.179382095612886
80,0.8008008008008007,1.0,0.18143312658329053
81,0.8108108108108109,1.0,0.18347903124290638
82,0.8208208208208209,1.0,0.1855198224020303
83,0.8308308308308309,1.0,0.1875555128528806
84,0.8408408408408409,1.0,0.18958611534519712
85,0.8508508508508509,1.0,0.19161164259671873
86,0.8608608608608609,1.0,0.19363210729419475
87,0.8708708708708709,1.0,0.19564752209360955
88,0.8808808808808809,1.0,0.19765789962040728
89,0.8908908908908909,1.0,0.19966325246971642
90,0.9009009009009009,1.0,0.2016635932058107
91,0.9109109109109109,1.0,0.20365893434724852
92,0.9209209209209209,1.0,0.20564928838519375
93,0.9309309309309309,1.0,0.20763466778419012
94,0.9409409409409409,1.0,0.2096150849776589
95,0.950950950950951,1.0,0.21159055236799443
96,0.960960960960961,1.0,0.21356108232665955
97,0.970970970970971,1.0,0.21552668719428109
98,0.980980980980981,1.0,0.2174873792807454
99,0.990990990990991,1.0,0.21944317086232598
100,1.001001001001001,-1.0,0.22089362934272513
101,1.011011011011011,-1.0,0.21784215972772553
102,1.021021021021021,-1.0,0.2147983168773801
103,1.031031031031031,-1.0,0.21176208173015335
104,1.0410410410410411,-1.0,0.20873343526826327
105,1.0510510510510511,-1.0,0.20571235852349717
106,1.0610610610610611,-1.0,0.20269883257608023
107,1.0710710710710711,-1.0,0.1996928385566139
108,1.0810810810810811,-1.0,0.19669435764329654
109,1.0910910910910911,-1.0,0.19370337105488591
110,1.1011011011011012,-1.0,0.19071986006009786
111,1.1111111111111112,-1.0,0.18774380597494458
112,1.1211211211211212,-1.0,0.18477519016135258
113,1.1311311311311312,-1.0,0.1818139940284392
114,1.1411411411411412,-1.0,0.17886019903206957
115,1.1511511511511512,-1.0,0.17591378667332827
